year,Region,lga,investment
2020,BARWON SW,Colac Otway,302000000
2020,BARWON SW,Corangamite,302000000
2020,BARWON SW,Glenelg,302000000
2020,BARWON SW,Southern Grampians,302000000
2020,BARWON SW,Moyne,260000000
2020,BARWON SW,Colac Otway,260000000
2020,BARWON SW,Corangamite,260000000
2020,BARWON SW,Surf Coast,260000000
2020,BARWON SW,Warrnambool,260000000
2020,EASTERN METRO,Boroondara,6000000000
2020,EASTERN METRO,Boroondara,6000000000
2020,GIPPSLAND,Wellington,241000000
2020,GIPPSLAND,Latrobe,241000000
2020,GIPPSLAND,East Gippsland,302000000
2020,GIPPSLAND,South Gippsland,302000000
2020,GRAMPIANS,Ararat,302000000
2020,GRAMPIANS,Hepburn,302000000
2020,GRAMPIANS,West Wimmera,302000000
2020,GRAMPIANS,Hindmarsh,302000000
2020,GRAMPIANS,Northern Grampians,302000000
2020,GRAMPIANS,Yarriambiack,302000000
2020,HUME,Alpine,302000000
2020,HUME,Indigo,302000000
2020,HUME,Murrindindi,302000000
2020,HUME,Towong,302000000
2020,HUME,Strathbogie,302000000
2020,HUME,Greater Shepparton,400000000
2020,HUME,Mitchell,400000000
2020,HUME,Strathbogie,400000000
2020,LODDON MALLE,Campaspe,302000000
2020,LODDON MALLE,Central Goldfields,302000000
2020,LODDON MALLE,Loddon,302000000
2020,LODDON MALLE,Buloke,302000000
2020,N AND W METRO,Moonee Valley,6000000000
2020,N AND W METRO,Banyule,6000000000
2020,N AND W METRO,Moonee Valley,6000000000
2020,N AND W METRO,Yarra,6000000000
2020,N AND W METRO,Hume,400000000
2020,N AND W METRO,Whittlesea,400000000
2021,EASTERN METRO,Monash,21000000
2021,HUME,Mitchell,276000000
2021,N AND W METRO,Wyndham,276000000
2021,N AND W METRO,Melton,276000000
2021,N AND W METRO,Hume,276000000
2021,N AND W METRO,Wyndham,276000000
2021,N AND W METRO,Wyndham,276000000
2021,N AND W METRO,Wyndham,276000000
2021,SOUTH EASTERN METRO,Casey,276000000
2021,SOUTH EASTERN METRO,Cardinia,276000000
2021,SOUTH EASTERN METRO,Cardinia,276000000
2021,SOUTH EASTERN METRO,Casey,276000000
2021,SOUTH EASTERN METRO,Casey,276000000
2021,SOUTH EASTERN METRO,Port Phillip,276000000
2021,SOUTH EASTERN METRO,Stonnington,21000000
2022,SOUTH EASTERN METRO,Casey,236700000
2022,SOUTH EASTERN METRO,Casey,236700000
2022,BARWON SW,Greater Geelong,236700000
2022,N AND W METRO,Melton,236700000
2022,N AND W METRO,Melton,236700000
2022,N AND W METRO,Wyndham,236700000
2022,SOUTH EASTERN METRO,Cardinia,236700000
2022,N AND W METRO,Melton,236700000
2022,N AND W METRO,Hume,236700000
2022,SOUTH EASTERN METRO,Casey,236700000
2022,N AND W METRO,Hume,236700000
2022,N AND W METRO,Whittlesea,236700000
2022,N AND W METRO,Melton,236700000
2022,SOUTH EASTERN METRO,Casey,236700000
2022,N AND W METRO,Melton,581000000
2022,N AND W METRO,Melton,581000000
2022,SOUTH EASTERN METRO,Casey,581000000
2022,N AND W METRO,Wyndham,581000000
2022,N AND W METRO,Melton,581000000
2022,N AND W METRO,Hume,581000000
2022,N AND W METRO,Wyndham,581000000
2022,N AND W METRO,Wyndham,581000000
2022,N AND W METRO,Hume,581000000
2022,SOUTH EASTERN METRO,Cardinia,581000000
2022,N AND W METRO,Wyndham,581000000
2022,N AND W METRO,Wyndham,581000000
2022,N AND W METRO,Wyndham,581000000
2022,N AND W METRO,Wyndham,41200000
2022,SOUTH EASTERN METRO,Cardinia,37500000
2022,N AND W METRO,Hume,37500000
2022,N AND W METRO,Wyndham,37500000
2023,SOUTH EASTERN METRO,Frankston,116000000
2023,N AND W METRO,Hume,116000000
2023,BARWON SW,Warrnambool,116000000
2023,SOUTH EASTERN METRO,Greater Dandenong,116000000
2023,N AND W METRO,Brimbank,116000000
2023,HUME,Wangaratta,116000000
2023,N AND W METRO,Hume,450000000
2023,N AND W METRO,Whittlesea,450000000
2023,GRAMPIANS,Hepburn,991000000
2023,SOUTH EASTERN METRO,Greater Dandenong,991000000
2023,GIPPSLAND,South Gippsland,991000000
2023,SOUTH EASTERN METRO,Frankston,991000000
2023,N AND W METRO,Merri-bek,991000000
2023,GRAMPIANS,Golden Plains,991000000
2023,SOUTH EASTERN METRO,Casey,991000000
2023,SOUTH EASTERN METRO,Casey,991000000
2023,N AND W METRO,Banyule,991000000
2023,N AND W METRO,Brimbank,991000000
2023,N AND W METRO,Whittlesea,991000000
2023,LODDON MALLE,Loddon,991000000
2023,LODDON MALLE,Central Goldfields,991000000
2023,N AND W METRO,Melton,991000000
2023,LODDON MALLE,Mildura,991000000
2023,SOUTH EASTERN METRO,Greater Dandenong,991000000
2023,HUME,Moira,991000000
2023,BARWON SW,Greater Geelong,991000000
2023,BARWON SW,Glenelg,991000000
2023,N AND W METRO,Darebin,991000000
2023,LODDON MALLE,Campaspe,991000000
2023,N AND W METRO,Melton,991000000
2023,HUME,Mitchell,991000000
2023,HUME,Greater Shepparton,991000000
2023,N AND W METRO,Wyndham,991000000
2023,GIPPSLAND,Latrobe,991000000
2023,LODDON MALLE,Greater Bendigo,991000000
2023,N AND W METRO,Merri-bek,991000000
2023,GRAMPIANS,Yarriambiack,991000000
2023,N AND W METRO,Brimbank,991000000
2023,GIPPSLAND,East Gippsland,"100,000"
2023,GRAMPIANS,Hepburn,7200000
2023,N AND W METRO,Melbourne,7400000
2023,N AND W METRO,Whittlesea,7400000
2023,N AND W METRO,Hobsons Bay,7400000
2023,SOUTH EASTERN METRO,Kingston,7400000
2023,BARWON SW,Greater Geelong,13400000
2023,N AND W METRO,Whittlesea,13400000
2023,N AND W METRO,Brimbank,13400000
2023,SOUTH EASTERN METRO,Casey,13400000
2023,EASTERN METRO,Monash,13400000
2023,HUME,Indigo,"700,000"
2023,BARWON SW,Colac Otway,"700,000"
2023,HUME,Wodonga,"700,000"
2023,N AND W METRO,Melbourne,1500000
2023,N AND W METRO,Maribyrnong,"400,000"
2023,N AND W METRO,Whittlesea,"400,000"
2023,GIPPSLAND,Baw Baw,320000000
2023,BARWON SW,Greater Geelong,30400000
2023,LODDON MALLE,Greater Bendigo,6000000
2023,BARWON SW,Warrnambool,"200,000"
2023,HUME,Greater Shepparton,10000000
2023,HUME,Murrindindi,5000000
2023,GIPPSLAND,Bass Coast,"200,000"
2023,GIPPSLAND,East Gippsland,"250,000"
2023,N AND W METRO,Hume,170000000
2023,SOUTH EASTERN METRO,Frankston,34200000
2023,BARWON SW,Queenscliffe,34200000
2023,N AND W METRO,Melton,36400000
2023,GRAMPIANS,Moorabool,36400000
2023,SOUTH EASTERN METRO,Casey,36400000
2023,SOUTH EASTERN METRO,Casey,36400000
2023,N AND W METRO,Wyndham,36400000
2023,N AND W METRO,Wyndham,36400000
2023,N AND W METRO,Hobsons Bay,46800000
2023,N AND W METRO,Banyule,61600000
2023,EASTERN METRO,Monash,61600000
2023,EASTERN METRO,Monash,61600000
2023,SOUTH EASTERN METRO,Frankston,61600000
2023,SOUTH EASTERN METRO,Kingston,61600000
2023,N AND W METRO,Nillumbik,61600000
2023,N AND W METRO,Wyndham,61600000
2023,N AND W METRO,Hobsons Bay,694000000
2023,N AND W METRO,Wyndham,694000000
2023,SOUTH EASTERN METRO,Casey,694000000
2023,GRAMPIANS,Moorabool,694000000
2023,BARWON SW,Greater Geelong,694000000
2023,HUME,Mitchell,694000000
2023,N AND W METRO,Melton,650000000
2023,N AND W METRO,Wyndham,618000000
2023,SOUTH EASTERN METRO,Casey,618000000
2023,N AND W METRO,Hume,618000000
2023,SOUTH EASTERN METRO,Casey,618000000
2023,SOUTH EASTERN METRO,Casey,618000000
2023,SOUTH EASTERN METRO,Cardinia,618000000
2023,N AND W METRO,Wyndham,618000000
2023,SOUTH EASTERN METRO,Casey,618000000
2023,N AND W METRO,Whittlesea,618000000
2023,SOUTH EASTERN METRO,Port Phillip,618000000
2023,N AND W METRO,Hume,618000000
2023,N AND W METRO,Wyndham,618000000
